Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
64,60,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10058,10034,10046,10112,10107,9971,9984,9968,9942,9949,10122,10087,10086,9999,9962,10008
C,390,380,400,400,370,380,380,400,390,410,410,410,400,380,410,400
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
67,69,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10062,10008,10140,10022,10097,10059,10039,10067,10028,10023,9995,10104,10048,9969,10006,9985
C,450,430,420,420,420,420,400,400,380,410,400,420,410,400,400,410
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
66,65,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9965,10033,9974,10034,10091,10026,9994,10062,10060,10100,9968,10132,10027,10051,10093,10066
C,360,350,345,360,360,320,370,360,380,400,370,390,400,380,380,380
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
2,31,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9940,10028,10088,10057,10072,9982,10007,10009,10028,10051,10076,10022,10131,10056,10061,10035
C,350,370,400,360,380,340,350,330,400,420,400,420,420,390,430,400
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
23,40,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10057,10017,10099,10113,10066,10089,10054,9985,10092,10098,10083,10087,10078,10002,10085,9987
C,430,427,415,448,423,418,395,409,374,398,396,406,387,372,387,390
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
6,34,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9986,10040,10025,10116,10068,10043,10066,10012,10074,10055,10016,10005,10067,9981,10044,10023
C,427,411,394,433,411,405,422,397,390,400,377,393,392,377,385,396
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
28,31,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10048,10048,10123,10061,10034,9990,9956,9984,10027,10061,10117,10083,10146,10039,10113,10119
C,422,422,412,415,410,409,422,423,398,422,426,425,427,415,439,451
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
21,43,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9999,10007,10016,10132,10075,10048,10108,10041,10008,10018,10007,10048,10082,10018,9952,9979
C,418,407,395,420,399,424,424,429,384,403,389,413,403,388,398,420
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
20,37,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10096,10018,9974,10024,10012,10072,9977,10042,10105,10036,10129,10103,10007,10044,10127,10005
C,434,418,398,416,404,418,403,408,424,432,409,424,412,414,431,425
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
4,38,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10054,10012,10036,10075,10094,10078,10049,9969,10071,9958,10063,10103,9960,10055,10077,10031
C,425,401,402,414,399,392,400,391,368,386,383,386,394,398,394,394
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
29,2,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10036,10034,10014,10087,10077,9972,10006,9955,10008,10065,10084,10037,10007,10025,10000,9972
C,412,391,395,402,403,376,393,395,396,403,387,393,402,399,404,402
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
11,32,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10088,10048,10049,10051,10051,10058,10058,9969,10043,10051,10107,10013,10008,10054,10040,10069
C,412,413,372,414,413,399,393,401,404,412,416,438,436,415,417,430
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
24,59,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10042,10049,10058,10129,10140,10023,10102,10041,10014,10017,10120,10059,10008,10107,10026,10032
C,425,416,401,419,414,394,417,401,365,399,386,377,370,395,371,393
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
10,43,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10028,10120,10044,10089,10101,9947,10121,10036,10096,10022,10066,10086,10045,10044,10068,10039
C,426,402,420,430,408,381,406,402,416,418,411,425,418,387,403,407
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
6,16,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9983,10081,10038,10048,10026,10026,10071,10080,9995,10059,10124,10067,10067,10019,10088,10041
C,390,406,386,414,392,383,396,412,376,408,363,386,393,389,395,400
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
7,45,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10080,10046,10107,10062,10049,9984,10058,10040,10076,10017,10065,10016,9981,10051,10009,10053
C,417,427,388,431,401,378,414,430,400,416,404,404,401,413,401,424
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
3,63,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10087,9997,10082,10048,10076,10068,10096,10032,10085,10105,10012,10019,10052,10013,10123,10004
C,432,408,425,417,389,404,424,421,423,422,401,401,412,400,434,435
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
20,26,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10000,10036,10154,10087,10071,10121,10115,10012,10039,10075,10124,10019,10048,10046,10022,9937
C,424,417,419,425,430,411,442,412,373,398,372,386,380,373,378,387
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
9,11,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10025,10048,10107,10129,10005,9977,10074,10072,9950,10047,10014,10012,10039,10031,9981,9952
C,419,421,414,438,401,399,419,438,353,382,359,371,386,372,381,392
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
2,49,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,9941,10068,10054,10112,10003,10068,10068,10035,10044,10106,10106,10159,10088,10041,10127,10043
C,393,421,397,434,382,388,418,385,385,413,392,422,407,401,406,402
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
22,46,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10057,10053,10113,10103,10031,10083,9990,10052,10064,10065,9989,10048,10101,10044,10049,9988
C,424,423,432,431,400,409,397,419,364,401,363,354,383,377,369,385
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
13,35,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10068,10077,10042,10088,10071,10079,10054,9991,9981,10008,10062,10027,10022,9960,10052,9944
C,427,423,429,435,407,423,429,431,421,426,427,432,413,406,416,419
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
21,39,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10107,10051,10056,10129,10057,10067,10039,10049,9986,9966,10048,10149,10114,10101,9984,10057
C,321,336,307,361,316,343,335,344,395,417,416,433,406,412,404,416
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
17,40,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10036,10002,10069,10008,10002,10096,10045,10008,10104,10061,10048,10046,10115,10032,10000,10068
C,395,387,400,399,388,387,407,392,425,414,407,414,428,402,424,411
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
3,50,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10063,9981,10047,10036,10102,10006,10004,10001,10105,10012,10108,10028,10099,10032,10160,10048
C,416,403,406,421,400,397,397,440,382,392,383,366,392,370,408,415
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
31,44,3,,,,,,,,,,,,,,
Channel Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
M,10002,10026,9949,9985,9998,10074,9996,10008,10128,10028,10096,10028,10047,10106,10080,9984
C,416,400,406,419,402,412,399,420,402,398,376,408,391,401,379,377
VM,9016,,,,,,,,,,,,,,,
VC,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daughter Board ID,Mother Board ID,Slave ID,,,,,,,,,,,,,,
16,17,3,,,,,,,,,,,,,,
